subject_num,iteration,c7_disp/cm,sa_disp/cm,time/s,accuracy/cm,parameter,cost
1,1,8.02584364502718,3.14437015989464,2.78,0.49,0.8,4.94353185121793
1,2,8.31289887887607,2.76772149112003,2.78,0.49,0.8,3.83014112620385
1,3,9.39862383894566,3.26028380796968,2.99,0.38,0.8,5.31472525425463
1,4,9.7064364657457,2.48147750426498,3.24,0.46,0.8,3.07886530208658
1,5,8.22165898819586,4.5761811028611,2.76,0.36,0.85,10.4707167430915
1,6,10.6203693434742,3.50670146271335,2.9,0.51,0.85,6.14847757429798
1,7,8.12347858097811,4.25684297568028,2.75,0.41,0.85,9.06035605979928
1,8,6.91940496443535,4.63517615350277,2.67,0.34,0.85,10.7424289870004
1,9,9.96237157693975,4.29259568711266,3.55,0.43,0.9,9.21318886650911
1,10,7.55375161888333,2.80085504608759,3.41,0.95,0.9,3.92239449459715
1,11,7.26019325857543,6.24023530397094,3.42,0.19,0.9,19.4702683244626
1,12,9.63972738898173,4.2788095680068,2.49,0.38,0.9,9.15410565963325
1,13,7.99504657156266,2.70800069465709,2.5,0.66,0.95,3.66663388113163
1,14,9.62519720067226,2.41731321090351,2.8,0.42,0.95,2.92170157980433
1,15,6.56808552201363,3.08869160997176,2.37,0.42,0.95,4.77000793075496
1,16,7.11358794501182,3.02799510752785,2.88,0.6,0.95,4.58437718560629
1,17,3.85964898446446,2.81678779463668,2.69,0.47,1,3.96714674000709
1,18,7.51585735266304,3.2404824608097,2.92,0.87,1,5.25036328940764
1,19,8.65788329329835,2.81872296064664,3.46,0.31,1,3.97259956443828
1,20,7.28133176822602,4.63693368304333,2.51,0.46,1,10.7505769904709
1,21,9.09524559735793,2.34547741473005,2.43,0.45,1.05,2.75063215150438
1,22,7.41704844850643,3.30036562668567,2.42,0.83,1.05,5.44620663490414
1,23,5.78482687173721,2.06448045637018,2.95,0.37,1.05,2.13103977736721
1,24,2.88744719193166,4.79419539091014,3.04,0.51,1.05,11.492154723112
1,25,7.62213504013012,2.12863988835445,3.64,0.36,1.1,2.26555388714681
1,26,5.93667498041442,2.60032063724512,3.23,1.09,1.1,3.38083370824144
1,27,8.2328904087051,2.20543785090212,2.94,0.29,1.1,2.43197805709588
1,28,7.47502395805047,2.50377557799983,3.06,0.29,1.1,3.13444607249418
1,29,7.49368138275945,1.82575238212053,2.93,0.4,1.15,1.6666858804094
1,30,8.59458158010399,2.32739893842003,3,0.32,1.15,2.70839290927933
1,31,8.21955303783919,1.52533884923648,2.61,0.19,1.15,1.16332930249504
1,32,7.08350543123315,2.17819926351681,2.9,0.29,1.15,2.37227601579259
1,33,6.38826587025582,1.94854030877944,2.93,0.32,1.2,1.89840466746915
1,34,8.54107669584798,2.05777757205763,2.71,0.36,1.2,2.11722426803169
1,35,8.24751385882295,1.63045286789424,2.91,0.4,1.2,1.32918827721227
1,36,8.98100231502795,2.18503205514522,2.65,0.41,1.2,2.38718254100607
1,37,5.20692426382135,3.28223032052689,2.97,0.42,1.25,5.38651793849304
1,38,1.46557935783551,1.77562148721232,3.51,1.57,1.25,1.57641583292505
1,39,2.14130507699633,3.23134188269745,2.32,0.9,1.25,5.22078518143736
1,40,3.11969132283548,3.26969012865782,2.32,0.66,1.25,5.34543676872119
1,41,5.87084707817197,2.49628317779568,2.59,0.43,1.3,3.11571485187285
1,42,6.31510689562452,1.51307023637562,3.52,0.39,1.3,1.14469077010288
1,43,6.75803381569131,3.46023764846551,2.24,0.35,1.3,5.98662229192905
1,44,4.99126697486742,2.03938831467542,2.63,0.39,1.3,2.07955234901732
1,45,5.94257290905089,3.17540267679159,2.5,0.42,1.35,5.04159107988758
1,46,6.05921245359263,2.97417989170451,2.6,0.31,1.35,4.42287301410972
1,47,7.11535049132956,2.79635382444212,4.15,0.42,1.35,3.90979735573605
1,48,2.84683197909963,2.93953007110108,2.6,0.32,1.35,4.32041851945377
1,49,5.78470885935885,2.64387416276475,2.51,0.47,1.4,3.49503529426751
1,50,4.39407284312355,3.7250320886025,2.86,0.55,1.4,6.93793203055914
1,51,5.36291677000968,3.34584391047598,2.32,0.3,1.4,5.59733573663459
1,52,5.83663038718682,1.94078960343038,3.07,0.48,1.4,1.88333214239173
1,53,4.48075608256922,2.14104273761555,2.51,0.29,1.45,2.29203200214815
1,54,4.59891185592076,3.13625153177491,2.28,0.92,1.45,4.91803683528023
1,55,3.58688850702471,3.47824550167651,2.77,0.24,1.45,6.04909588496644
1,56,-0.216340660720211,3.0126801575025,3.09,1.04,1.45,4.53812086570465
1,57,3.50076303891066,3.34383012517264,2.2,0.35,1.5,5.59059995300604
1,58,4.31092672485368,3.16217479117322,3.02,1.13,1.5,4.99967470496569
1,59,3.5484539623177,2.8560240067677,3.15,0.29,1.5,4.07843656361672
1,60,2.57541196746918,2.5773196777202,3.15,0.38,1.5,3.32128836058188
1,61,3.71771212439352,2.72092953778594,2.55,0.59,1.55,3.701728774798
1,62,3.0927428179722,2.9301801606115,2.46,0.79,1.55,4.29297788682062
1,63,2.6974147200776,3.18069329040194,2.87,0.49,1.55,5.05840490380396
1,64,4.50538433649265,2.80702140170133,2.76,0.23,1.55,3.93968457480464
1,65,2.80419537699171,2.52620475322404,2.51,0.27,1.6,3.19085522760588
1,66,3.0651995822342,2.85840828907546,2.58,0.81,1.6,4.08524897352765
1,67,0.583558278136278,2.98208785030116,2.56,0.65,1.6,4.4464239734569
1,68,1.03223204220891,3.10421857249942,3.67,0.46,1.6,4.81808647292518
