subject_num,iteration,c7_disp/cm,sa_disp/cm,time/s,accuracy/cm,parameter,cost
1,1,15.58,4.43,2.62,0.46,1,131.1
1,2,12.03,4.79,2.48,0.47,1.02,83.79
1,3,12.21,4.43,2.71,0.6,1.04,84.41
1,4,7.57,3.46,2.81,0.45,1.08,34.65
1,5,10.31,2.87,2.41,0.4,1.1,57.3
1,6,8.83,3.97,2.96,0.38,1.06,46.85
1,7,7.62,4.74,3.23,0.43,1,40.26
1,8,11.79,3.97,2.73,0.36,0.96,77.38
1,9,11.84,3.68,2.83,0.57,1.04,76.82
1,10,9.64,4.12,2.09,0.21,1.15,54.98
1,11,7.81,3.99,2.31,0.46,1.3,38.49
1,12,4.95,4.34,3.29,0.19,1.45,21.65
1,13,1.47,4.15,3.67,2.66,1.54,9.72
1,14,-0.25,4.03,3.08,0.38,1.57,8.14
1,15,1.03,4.97,3.15,0.38,1.59,12.89
1,16,0.34,5.19,2.4,1.06,1.62,13.51
1,17,0.44,3.83,2.72,0.52,1.67,7.41
1,18,0.98,4.1,3.02,0.46,1.72,8.89
1,19,-0.98,3.53,3.46,0.41,1.81,6.72
1,20,-1.37,4.37,2.29,1.87,1.86,10.51
1,21,-3.14,4.41,3.79,0.37,1.86,14.65
1,22,2.26,3.95,4.51,0.35,1.81,10.36
1,23,-4.56,3.05,3.04,0.28,1.74,15.04
1,24,0.93,3.38,4.16,0.28,1.68,6.16
1,25,0.49,3.13,4.04,0.38,1.65,5
1,26,-1.82,3.35,3.23,0.3,1.66,7.25
1,27,-3.53,4.43,2.96,0.54,1.69,16.04
1,28,-0.98,3.44,2.54,1.06,1.73,6.4
1,29,-3.33,3.49,2.84,0.32,1.7,11.67
1,30,-2.75,4.08,2.98,0.29,1.66,12.1
1,31,-0.49,4.28,2.88,0.36,1.57,9.29
1,32,-1.57,4.61,3.52,0.3,1.5,11.86
1,33,2.21,5.78,3.29,0.38,1.49,19.12
1,34,0.64,5.15,4.28,0.41,1.52,13.47
1,35,1.52,4.54,4.37,0.71,1.57,11.45
1,36,-2.31,4.3,3.01,0.38,1.61,11.91
1,37,1.96,4.95,3.62,0.51,1.62,14.19
1,38,0.64,3.92,2.56,0.35,1.59,7.88
1,39,0.34,5.24,3.34,0.19,1.54,13.79
1,40,-0.25,5.37,2.75,0.49,1.52,14.43
1,41,-0.98,3.66,2.07,0.41,1.53,7.18
1,42,1.52,3.09,3.12,0.44,1.59,5.93
1,43,3.33,4.37,2.56,0.39,1.67,15.13
1,44,-1.67,3.77,2.47,0.28,1.73,8.5
1,45,0.79,3.14,3.25,0.51,1.74,5.25
1,46,0,5.08,2.7,0.41,1.7,12.9
1,47,1.67,3.44,2.78,0.35,1.64,7.31
1,48,0.59,4.21,2.24,0.33,1.6,9.03
1,49,1.72,4.37,2.91,0.29,1.6,11.04
1,50,1.67,4.88,2.62,0.32,1.64,13.31
1,51,2.6,3.6,2.44,0.53,1.7,9.88
1,52,1.28,3.31,6.56,0.24,1.73,6.29
1,53,12.31,5.21,3.72,0.38,1.73,89.31
1,54,1.08,2.33,4.05,1.07,1.7,3.29
1,55,4.22,4.15,3.04,0.34,1.64,17.52
1,56,1.08,4.63,3.12,0.34,1.57,11.29
1,57,-1.82,5.44,2.33,0.3,1.53,16.43
1,58,-0.79,5.35,2.68,0.63,1.54,14.61
1,59,-0.34,5.42,2.2,0.18,1.55,14.75
1,60,7.57,3.79,2.68,0.51,1.55,35.85
1,61,0.59,4.01,3.51,0.38,1.51,8.21
1,62,2.21,5.08,2.6,0.31,1.43,15.34
1,63,4.51,5.04,3.36,0.7,1.33,22.88
1,64,3.63,5.97,3.34,0.43,1.26,24.41
1,65,8.92,3.92,3.99,0.45,1.25,47.49
1,66,5.05,4.25,3.22,0.22,1.28,21.74
1,67,5,5.01,2.71,0.36,1.34,25.02
1,68,3.04,5.58,3.36,0.41,1.4,20.19
1,69,2.85,5.12,3.23,0.58,1.43,17.13
1,70,2.99,4.17,2.88,0.34,1.41,13.18
1,71,4.51,5.42,2.94,0.4,1.39,24.85
1,72,3.87,6.13,2.43,0.46,1.39,26.28
1,73,3.97,4.28,3.29,0.36,1.43,17.05
1,74,4.22,5.22,2.52,0.27,1.51,22.52
1,75,2.55,4.46,2.68,0.42,1.61,13.22
1,76,0.39,3.24,2.82,0.45,1.68,5.31
