subject_num,iteration,c7_disp/cm,sa_disp/cm,time/s,accuracy/cm,parameter,cost,Dither
1,1,15.58,4.43,2.62,0.46,1,131.1,First
1,2,12.03,4.79,2.48,0.47,1.02,83.79,First
1,3,12.21,4.43,2.71,0.6,1.04,84.41,First
1,4,7.57,3.46,2.81,0.45,1.08,34.65,First
1,5,10.31,2.87,2.41,0.4,1.1,57.3,First
1,6,8.83,3.97,2.96,0.38,1.06,46.85,First
1,7,7.62,4.74,3.23,0.43,1,40.26,First
1,8,11.79,3.97,2.73,0.36,0.96,77.38,First
1,73,3.97,4.28,3.29,0.36,1.43,17.05,Last
1,74,4.22,5.22,2.52,0.27,1.51,22.52,Last
1,75,2.55,4.46,2.68,0.42,1.61,13.22,Last
1,76,0.39,3.24,2.82,0.45,1.68,5.31,Last
1,77,0.1,4.9,2.64,0.27,1.71,12.01,Last
1,78,3.04,4.08,2.6,0.42,1.69,12.95,Last
1,79,-0.2,4.5,2.97,0.49,1.65,10.15,Last
1,80,0.59,4.85,2.08,0.11,1.62,11.91,Last
2,1,21.97,2.09,3.85,0.37,1,243.56,First
2,2,23.42,4.03,3.64,0.11,1,282.38,First
2,3,22.58,2.85,3.83,0.26,0.93,259.04,First
2,4,22.82,4.16,3.72,0.26,0.9,268.93,First
2,5,20.78,3.28,3.98,0.12,0.9,221.37,First
2,6,19.19,3.77,4.1,0.23,0.85,191.32,First
2,7,19.92,3.97,4.17,0.37,0.8,206.26,First
2,8,21.02,3.69,4.53,0.3,0.8,227.78,First
2,73,1.01,3.58,5.53,0.33,2.33,6.91,Last
2,74,2.38,3.54,4.59,0.25,2.38,9.09,Last
2,75,2.43,4.12,6.68,0.42,2.44,11.43,Last
2,76,-2.17,3.19,5.05,0.33,2.5,7.45,Last
2,77,1.96,4.03,5.64,0.14,2.51,10.04,Last
2,78,0.26,3.32,4.51,0.24,2.47,5.55,Last
2,79,2.33,3.58,4.19,0.36,2.42,9.12,Last
2,80,5.12,3.84,4.68,0.16,2.38,20.48,Last
3,1,16.54,5.54,5.95,0.28,1,152.04,First
3,2,12.84,6.83,4.12,0.32,1.02,105.69,First
3,3,12.25,11.7,3.42,0.8,1.02,143.51,First
3,4,11.99,6.11,3.85,0.27,1.04,90.53,First
3,5,12.04,6.63,3.91,0.44,1.04,94.53,First
3,6,13.47,6.26,3.76,0.29,1,110.3,First
3,7,13.52,6.58,4.27,0.26,0.94,113.01,First
3,8,12.78,4.19,4.25,0.42,0.9,90.49,First
3,73,1.15,5.36,3.04,0.51,1.59,15,Last
3,74,-0.05,4.13,3.23,0.38,1.63,8.54,Last
3,75,1.09,4.72,3.41,0.3,1.7,11.72,Last
3,76,1.91,5.14,2.47,0.48,1.75,15.02,Last
3,77,0.16,4.11,3.01,0.21,1.75,8.47,Last
3,78,0.55,4.31,2.29,0.19,1.71,9.46,Last
3,79,-1.04,4.96,3.5,0.36,1.65,12.83,Last
3,80,2.89,4.29,2.97,0.31,1.61,13.39,Last
4,1,15.4,4.24,2.15,0.3,1,127.5,First
4,2,15.35,5.27,1.55,0.37,1.02,131.64,First
4,3,18.01,5.43,1.71,0.3,1.02,176.88,First
4,4,18.11,4.91,1.54,0.38,1.01,175.97,First
4,5,18.5,3.59,1.84,0.49,0.98,177.65,First
4,6,19.83,4.28,1.77,0.32,0.94,205.82,First
4,7,16.86,4.96,1.65,0.6,0.88,154.44,First
4,8,18.65,5.37,2.13,0.45,0.84,188.38,First
4,73,9.14,4.36,1.75,0.34,1.68,51.26,Last
4,74,9.3,4.94,1.61,0.29,1.72,55.44,Last
4,75,8.93,4.5,1.3,1.19,1.78,49.97,Last
4,76,7.4,4.44,1.38,0.45,1.82,37.23,Last
4,77,8.35,3.77,1.63,0.34,1.82,41.96,Last
4,78,6.45,3.95,1.5,0.34,1.78,28.57,Last
4,79,6.61,5.16,1.73,0.33,1.72,35.13,Last
4,80,7.72,4.53,2.02,0.19,1.68,40.06,Last
5,1,13.47,4.31,3.2,0.41,1,99.94,First
5,2,12.39,4.98,4.82,0.37,1.03,89.17,First
5,3,8.2,2.12,2.84,0.36,1.04,35.91,First
5,4,6.63,2.52,3.32,0.29,1.09,25.19,First
5,5,7.24,3.71,2.39,0.39,1.12,33.05,First
5,6,3.75,5.79,2.68,0.24,1.1,23.76,First
5,7,5.38,5.91,2.19,0.39,1.09,31.91,First
5,8,3,4.79,2.19,0.23,1.13,15.97,First
5,73,2.3,2.1,2.85,0.42,1.6,4.85,Last
5,74,2.3,3.09,3.1,0.46,1.66,7.4,Last
5,75,1.22,2.43,2.12,0.3,1.74,3.69,Last
5,76,-1.36,2.86,3.61,0.42,1.79,5.02,Last
5,77,-1.08,2.88,2.58,0.28,1.8,4.72,Last
