subject_num,iteration,c7_disp/cm,sa_disp/cm,time/s,accuracy/cm,parameter,cost,Dither
1,73,3.97,4.28,3.29,0.36,1.43,17.05,Last
1,74,4.22,5.22,2.52,0.27,1.51,22.52,Last
1,75,2.55,4.46,2.68,0.42,1.61,13.22,Last
1,76,0.39,3.24,2.82,0.45,1.68,5.31,Last
1,77,0.1,4.9,2.64,0.27,1.71,12.01,Last
1,78,3.04,4.08,2.6,0.42,1.69,12.95,Last
1,79,-0.2,4.5,2.97,0.49,1.65,10.15,Last
1,80,0.59,4.85,2.08,0.11,1.62,11.91,Last
2,73,1.01,3.58,5.53,0.33,2.33,6.91,Last
2,74,2.38,3.54,4.59,0.25,2.38,9.09,Last
2,75,2.43,4.12,6.68,0.42,2.44,11.43,Last
2,76,-2.17,3.19,5.05,0.33,2.5,7.45,Last
2,77,1.96,4.03,5.64,0.14,2.51,10.04,Last
2,78,0.26,3.32,4.51,0.24,2.47,5.55,Last
2,79,2.33,3.58,4.19,0.36,2.42,9.12,Last
2,80,5.12,3.84,4.68,0.16,2.38,20.48,Last
3,73,1.15,5.36,3.04,0.51,1.59,15,Last
3,74,-0.05,4.13,3.23,0.38,1.63,8.54,Last
3,75,1.09,4.72,3.41,0.3,1.7,11.72,Last
3,76,1.91,5.14,2.47,0.48,1.75,15.02,Last
3,77,0.16,4.11,3.01,0.21,1.75,8.47,Last
3,78,0.55,4.31,2.29,0.19,1.71,9.46,Last
3,79,-1.04,4.96,3.5,0.36,1.65,12.83,Last
3,80,2.89,4.29,2.97,0.31,1.61,13.39,Last
4,73,9.14,4.36,1.75,0.34,1.68,51.26,Last
4,74,9.3,4.94,1.61,0.29,1.72,55.44,Last
4,75,8.93,4.5,1.3,1.19,1.78,49.97,Last
4,76,7.4,4.44,1.38,0.45,1.82,37.23,Last
4,77,8.35,3.77,1.63,0.34,1.82,41.96,Last
4,78,6.45,3.95,1.5,0.34,1.78,28.57,Last
4,79,6.61,5.16,1.73,0.33,1.72,35.13,Last
4,80,7.72,4.53,2.02,0.19,1.68,40.06,Last
5,73,2.3,2.1,2.85,0.42,1.6,4.85,Last
5,74,2.3,3.09,3.1,0.46,1.66,7.4,Last
5,75,1.22,2.43,2.12,0.3,1.74,3.69,Last
5,76,-1.36,2.86,3.61,0.42,1.79,5.02,Last
5,77,-1.08,2.88,2.58,0.28,1.8,4.72,Last
5,78,0,3.5,3.22,0.4,1.77,6.13,Last
5,79,1.31,2.85,2.97,0.24,1.71,4.91,Last
5,80,2.25,3.05,2.7,0.34,1.67,7.2,Last
6,73,1.5,2.64,4.02,0.39,1.4,4.62,Last
6,74,2.67,1.67,4.02,0.36,1.46,4.97,Last
6,75,1.03,2.39,3.63,0.36,1.54,3.4,Last
6,76,0.42,1.77,2.4,0.96,1.59,1.65,Last
6,77,1.97,1.17,4.43,0.36,1.6,2.62,Last
6,78,1.27,1.77,5.02,0.27,1.56,2.36,Last
6,79,0.7,2.42,5.26,0.27,1.51,3.19,Last
6,80,0.05,2.06,4.77,0.35,1.46,2.13,Last
7,73,5.83,3.58,5.3,0.32,1.49,23.38,Last
7,74,2.21,3.1,3.48,0.38,1.52,7.23,Last
7,75,-0.15,2.13,2.83,0.42,1.57,2.29,Last
7,76,-0.25,2.51,3.22,0.03,1.62,3.18,Last
7,77,3.04,3.02,2.88,0.41,1.63,9.18,Last
7,78,-0.34,1.98,3.43,0.24,1.59,2.02,Last
7,79,1.57,2.91,4.02,0.34,1.54,5.46,Last
7,80,5.14,2.76,2.89,0.32,1.51,17.02,Last
8,73,2.25,3.62,2.29,0.49,1.69,9.11,Last
8,74,1.64,3.61,2.24,0.4,1.73,7.85,Last
8,75,1.44,3.08,2.89,0.32,1.8,5.77,Last
8,76,1.59,3.54,1.9,1.54,1.84,7.51,Last
8,77,1.13,2.81,3.01,0.24,1.84,4.59,Last
8,78,1.85,2.81,1.87,0.29,1.8,5.66,Last
8,79,3.02,2.78,2.58,0.11,1.74,8.42,Last
8,80,2.41,2.87,3,0.2,1.7,7.01,Last
9,73,3.54,5.31,2.15,0.39,1.37,20.35,Last
9,74,3.38,6.06,2.69,0.4,1.42,24.06,Last
9,75,2.67,5.63,2.3,1.21,1.48,19.41,Last
9,76,4.19,5.78,1.61,0.86,1.53,25.5,Last
9,77,1.96,4.68,1.93,0.53,1.54,12.86,Last
9,78,2.34,5.28,1.82,0.71,1.49,16.71,Last
9,79,2.29,5.35,2.25,0.62,1.44,16.93,Last
9,80,3.71,5.82,2.33,0.06,1.39,23.81,Last
